name_coin,symbol_coin,id,uuid,number_of_markets,volume,market_cap,total_supply,price,percent_change_24hr,timestamp
The Sandbox,SAND,0,pxtKbG5rg,0,79411643,1464978839,0,0.6241985839857701,-3.91,1682040370
Aptos,APT,0,HGYj5JCv5,0,218341038,1459944748,0,11.230344218404255,-2.97,1682040370
Frax,FRAX,0,KfWtaeV1W,0,3353457,1421609206,0,1.011863009515525,0.03,1682040370
Algorand,ALGO,0,TpHE2IShQw-sJ,0,162091770,1388457740,0,0.19203580377258425,-4.64,1682040370
WEMIX TOKEN,WEMIX,0,08CsQa-Ov,0,12843892,1356994408,0,1.3569944077222436,6.27,1682040370
EnergySwap,ENS,0,SbWqqTui-,0,6440756,1312088958,0,13.120889579244647,-3.30,1682040370
Decentraland,MANA,0,tEf7-dnwV3BXS,0,125987635,1311243457,0,0.5978733433367053,-4.47,1682040370
NEAR Protocol,NEAR,0,DCrsaMv68,0,177317513,1261635718,0,2.0755901668762755,-5.09,1682040370
PancakeSwap,CAKE,0,ncYFcP709,0,42184133,1188217354,0,3.417652304205936,-2.00,1682040370
Cronos,CRO,0,65PHZTpmE55b,0,29218845,1119264442,0,0.06846627577589894,-0.30,1682040370
Baby Doge Coin,BABYDOGE,0,JY1_q2c0g,0,17187509,1096513557,0,3.105045024e-9,-9.52,1682040370
Bitcoin,BTC,0,Qwsogvtv82FCd,0,19339610162,548680076316,0,28547.8525229212,-2.16,1682040376
Ethereum,ETH,0,razxDUgYGNAdQ,0,10752300805,240248321529,0,1968.8299421816666,0.13,1682040376
Tether USD,USDT,0,HIVsRcGKkPFtW,0,73416213624,66203419140,0,1.0128626629793804,0.10,1682040376
BNB,BNB,0,WcwrkfNI4FUAe,0,610322231,46151522744,0,323.15496300003554,-1.77,1682040376
USDC,USDC,0,aKzUVe4Hh_CON,0,3380877903,44256254071,0,1.0109250930197538,-0.02,1682040376
XRP,XRP,0,-l8Mn2pVlRs-p,0,1534515005,24092663264,0,0.4789914297731426,-3.92,1682040376
Cardano,ADA,0,qzawljRxB5bYu,0,473326983,14239019144,0,0.4063064825244946,-4.04,1682040376
OKB,OKB,0,PDKcptVnzJTmN,0,75428289,12930990631,0,53.5544542931001,-1.22,1682040376
Dogecoin,DOGE,0,a91GCGd_u96cF,0,1975266896,11634250880,0,0.08502223390488914,-8.39,1682040376
